,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
1,2015-09-09T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
2,2015-09-10T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
3,2015-09-11T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
4,2015-09-14T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
5,2015-09-15T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
6,2015-09-16T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
7,2015-09-17T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
8,2015-09-18T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
9,2015-09-21T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
10,2015-09-22T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
11,2015-09-23T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
12,2015-09-24T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
13,2015-09-25T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
14,2015-09-28T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
15,2015-09-29T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
16,2015-09-30T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
17,2015-10-01T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
18,2015-10-02T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
19,2015-10-05T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
20,2015-10-06T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
21,2015-10-07T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
22,2015-10-08T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
23,2015-10-09T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
24,2015-10-12T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
25,2015-10-13T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
26,2015-10-14T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
27,2015-10-15T00:00:00Z,10.750000,10.750000,10.750000,10.750000,0,reg,True,SPCE
